epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,128096,0.87347,0.5804,1.03505,0.87794,0.73411,0.80518,0.59562,0.71408,0.39906,0.921,0.00703,0.00703,0.00703
152,128958,0.87627,0.5829,1.03393,0.87837,0.73344,0.8055,0.59593,0.71361,0.39877,0.92073,0.0070102,0.0070102,0.0070102
153,129826,0.87178,0.57902,1.03254,0.88052,0.73248,0.80574,0.59656,0.71312,0.39842,0.92046,0.0069904,0.0069904,0.0069904
154,130676,0.8749,0.58029,1.03495,0.87919,0.73322,0.80594,0.597,0.71264,0.39803,0.92019,0.0069706,0.0069706,0.0069706
155,131539,0.87034,0.57619,1.0336,0.88095,0.73257,0.80626,0.59735,0.71211,0.39763,0.91988,0.0069508,0.0069508,0.0069508
156,132392,0.87618,0.58105,1.03595,0.87784,0.73529,0.80648,0.59756,0.71164,0.39731,0.91964,0.006931,0.006931,0.006931
157,133259,0.87002,0.5734,1.03268,0.88084,0.73424,0.80669,0.59803,0.71121,0.39697,0.9194,0.0069112,0.0069112,0.0069112
158,134126,0.87143,0.57469,1.0309,0.88135,0.73445,0.80706,0.59847,0.71075,0.39666,0.91915,0.0068914,0.0068914,0.0068914
159,134978,0.86705,0.57165,1.03223,0.88057,0.73682,0.80749,0.59871,0.71029,0.39643,0.91891,0.0068716,0.0068716,0.0068716
160,135842,0.86939,0.57254,1.03236,0.88169,0.73527,0.80748,0.59941,0.70981,0.39612,0.91866,0.0068518,0.0068518,0.0068518
161,136695,0.86394,0.57117,1.0299,0.88288,0.73581,0.80804,0.59991,0.70929,0.39583,0.9184,0.006832,0.006832,0.006832
162,137547,0.86706,0.57344,1.0312,0.88398,0.73573,0.80833,0.60025,0.70877,0.39546,0.91816,0.0068122,0.0068122,0.0068122
163,138397,0.8664,0.5729,1.03241,0.88452,0.73578,0.80876,0.60069,0.70822,0.39513,0.91788,0.0067924,0.0067924,0.0067924
164,139254,0.86367,0.5689,1.02913,0.88582,0.73547,0.80906,0.60111,0.70773,0.39488,0.91761,0.0067726,0.0067726,0.0067726
165,140112,0.86001,0.5668,1.02839,0.88239,0.73783,0.80919,0.60148,0.7072,0.39451,0.91734,0.0067528,0.0067528,0.0067528
166,140963,0.86471,0.56636,1.03061,0.88642,0.73622,0.80943,0.60188,0.70664,0.39415,0.91707,0.006733,0.006733,0.006733
167,141808,0.86111,0.56912,1.02781,0.88565,0.73573,0.80973,0.60219,0.70618,0.3938,0.91682,0.0067132,0.0067132,0.0067132
